Time,Current,Filtered,Current.1,morph_signal,timing_signal
1.485,6.256453e-10,,,6.255594466666666e-10,-9.37746450000034e-13
1.486,6.256453e-10,,,6.256023899999999e-10,-9.33720600000051e-13
1.487,6.250012e-10,,,6.256023899999999e-10,-1.5734726500000393e-12
1.488,6.256453e-10,,,6.256345966666666e-10,-9.255078500000841e-13
1.489,6.259674e-10,,,6.256668033333332e-10,-5.992209499999944e-13
1.49,6.259674e-10,,,6.2569901e-10,-5.950340500000106e-13
1.491,6.256453e-10,,,6.257097466666666e-10,-9.129471499999257e-13
1.492,6.259674e-10,,,6.257312166666667e-10,-5.863382000000071e-13
1.493,6.256453e-10,,,6.257526899999999e-10,-9.0392924999999e-13
1.494,6.262895e-10,,,6.257848966666666e-10,-2.555423500001047e-13
1.495,6.256453e-10,,,6.258171033333332e-10,-8.9523340000009e-13
1.496,6.256453e-10,,,6.258493099999999e-10,-8.91207550000107e-13
1.497,6.259674e-10,,,6.258922499999999e-10,-5.652427499999157e-13
1.498,6.259674e-10,,,6.2591372e-10,-5.608948000000343e-13
